City,Population,Longitude,Latitude
Avnbøl,383,9.6465293,54.9586037
Blans,489,9.6603996,54.9897447
Augustenborg,3118,9.8743203,54.9506719
Guderup,2392,9.8681259,54.9912743
Hundslev,371,9.9182231,54.9824719
Kær,317,9.7955222,54.9376017
Dybbøl,2325,9.7211826,54.914791
Vester Sottrup,1452,9.6991391,54.9473337
Ullerup,395,9.6635378,54.9659523
Egernsund,1431,9.6032632,54.9065871
Gråsten,4298,9.5866302,54.9140178
Nybøl,1130,9.6821774,54.9211937
Kværs,378,9.4956816,54.930897
Tørsbøl,257,9.4911569,54.9141156
Rinkenæs,1269,9.5627554,54.8951761
Høruphav,2758,9.8959427,54.9104119
Kirke Hørup,258,9.9038148,54.9269384
Sønderborg,28333,9.7897999,54.9089186
Skelde,258,9.7245042,54.8596273
Toftlund,3225,9.0669072,55.1866229
Agerskov,1175,9.1288286,55.130201
Branderup,259,9.0686157,55.1220082
Arrild,314,8.9615909,55.1516082
Abild,503,8.8697433,54.9785557
Visby,345,8.7803291,55.0096346
Løgumkloster,3519,8.9568232,55.0595541
Tønder,7477,8.8629408,54.9380637
Jejsing,439,8.9625144,54.9385516
Skærbæk,5848,8.765738,55.157032
Bredebro,1436,8.8270664,55.0556028
Øster Højst,485,9.0391409,55.0017615
Husum-Ballum,293,8.6659156,55.0760629
Højer,1072,8.69514,54.9638824
Møgeltønder,757,8.8024693,54.9433547
Frifelt,241,8.8329031,55.2153852
Brøns,374,8.7278095,55.1944054
Rejsby,265,8.7237352,55.2325738
Gredstedbro,1071,8.7426321,55.3980215
Vilslev,447,8.7068262,55.3973927
Jernved,313,8.8017425,55.4224806
Bramming,7315,8.7027506,55.4655911
Gørding,1782,8.7999523,55.4734235
Tjæreborg,2956,8.5857229,55.4643476
Grimstrup,563,8.6529587,55.5286786
Ribe,8367,8.7647838,55.3284036
Øster Vedsted,823,8.7351424,55.3150064
Store Darum,929,8.6485897,55.4303222
Egebæk,1094,8.7294844,55.2792862
Vejrup,788,8.7794135,55.5216431
Esbjerg,71554,8.4520751,55.4664892
Andrup,1457,8.5358345,55.4989381
Guldager,978,8.4054744,55.5300879
Roager,319,8.8245213,55.2521539
Vester Vedsted,317,8.6810872,55.2902047
Bryndum,517,8.4795216,55.535907
Tarp,1670,8.4627549,55.5250104
Skads,421,8.5573724,55.5079056
Lustrup,293,8.7757253,55.309975
Hunderup,242,10.3910906,55.3842884
Kærbøl,320,8.7412173,55.359617
Guldager Stationsby,519,8.4389162,55.5319945
Janderup,788,8.3692268,55.624316
Varde,14263,8.4811757,55.6176702
Sig,755,8.5729194,55.6662401
Oksbøl,2898,8.278167,55.6235883
Billum,562,8.3319033,55.6160609
Øster Vrøgum,334,8.2887597,55.6531322
Nørre Nebel,1318,8.2900844,55.7775502
Ølgod,3713,8.6181307,55.8058276
Agerbæk,1280,8.7984877,55.6010876
Alslev,1319,8.4165176,55.5872707
Årre,628,8.6653697,55.5733106
Fåborg,301,10.2428246,55.097087
Lunde,405,8.3683069,55.7580344
Nordenskov,687,8.68429,55.6510244
Næsbjerg,781,8.5981858,55.6257093
Tistrup,1437,8.6065188,55.7186632
Skovlund,549,8.7058449,55.7372275
Ansager,1296,8.7526017,55.7049419
Tofterup,650,8.8153803,55.6500558
Outrup,994,8.3435414,55.7217329
Oksby,286,8.1418681,55.5540213
Rødding,4607,9.0581471,55.3680577
Brørup,4557,9.0155482,55.4846109
Lindknud,401,9.0166694,55.5662163
