City,Population,Latitude,Longitude
Væggerløse,1302,54.7106985,11.9252193
Idestrup,1135,54.7427332,11.9583204
Sønder Vedby Skovhuse,295,54.7628854,11.9117016
Øster Ulslev,241,54.696604,11.6275418
Sakskøbing,4514,54.798788,11.6341381
Horbelev,536,54.8231469,12.057096
Horreby,273,54.8004755,11.9926675
Guldborg,495,54.8717325,11.7447134
Stubbekøbing,2214,54.888364,12.0381564
Nordbyen,1984,54.8007503,11.8832489
Nykøbing Strandhuse,290,54.6600397,11.9497043
Marielyst,633,54.6902043,11.9669009
Køng,920,55.1178666,11.8101985
Lundby,819,54.9916427,10.6083754
Bårse,518,55.1258727,11.9517513
Stensved,1522,54.9963766,12.0272237
Klarskov,207,55.0670095,11.8708509
Vordingborg,12093,55.0102518,11.9097478
Borre,235,54.9955229,12.4487267
Kalvehave,577,54.9977367,12.1631205
Stege,3765,54.9863794,12.2861344
Bogø By,927,54.9232677,12.0528486
Store Damme,543,54.9151383,12.1595126
Præstø,3939,55.1178943,12.0538374
Skibinge,338,55.106278,12.0324218
Gammel Kalvehave,705,54.9982167,12.1364379
Allerslev,262,55.0821443,12.0350289
Nyråd,2524,55.003743,11.9658759
Ørslev,1979,55.0414258,11.9638538
Langebæk,257,54.9974289,12.0908672
Mern,969,55.0484274,12.0556557
Allinge-Sandvig,1446,55.2830077,14.7915354
Hasle,1635,55.1838021,14.7061711
Svaneke,1090,55.136227,15.1411115
Årsdale,266,55.1059445,15.144951
Aakirkeby,2091,55.0692055,14.9207977
Pedersker,209,55.0313436,14.9939614
Snogebæk,682,55.0245813,15.1152563
Nexø,3657,55.0650145,15.1307273
Tejn,771,55.2489885,14.833428
Østerlars,254,55.1643977,14.9669141
Østermarie,459,55.1406639,15.0123453
Lobbæk,307,55.074252,14.8360491
Nyker,675,55.1390763,14.7584146
Vestermarie,237,55.1066892,14.8226166
Klemensker,599,55.1741032,14.8063219
Rønne,13675,55.0994511,14.7060906
Muleby,475,55.1552191,14.7190833
Nylars,205,55.0724093,14.809699
Gudhjem,730,55.2112235,14.9704119
Middelfart,16749,55.4993014,9.7392181
Brenderup,1486,55.4897878,9.9727431
Fjelsted,306,55.4409948,10.0147207
Harndrup,605,55.4649229,10.0200671
Gelsted,1702,55.3975498,9.9733782
Båring,970,55.485948,9.9091618
Nørre Aaby,3196,55.457787,9.878534
Strib,5280,55.5369188,9.7763619
Kauslunde,494,55.4807774,9.8099636
Røjle,234,55.5190784,9.809634
Verninge,757,55.2910347,10.206845
Grønnemose,400,55.4171128,10.0520849
Turup,302,55.3004435,9.9915194
Glamsbjerg,3322,55.2783263,10.1087429
Assens,7374,55.265798,9.9002174
Skallebølle,707,55.3881319,10.1902325
Tommerup Stationsby,2469,55.3460894,10.1790368
Tommerup,1567,55.3205379,10.205183
Jordløse,318,55.2001097,10.1560718
Brylle,1306,55.3243706,10.2474251
Ebberup,1233,55.2421087,9.9736869
Flemløse,581,55.2413407,10.0701474
Snave,212,55.2118345,10.0348009
Haarby,2533,55.2203305,10.1258184
Aarup,3237,55.3763248,10.0510648
Skalbjerg,575,55.3671831,10.1451182
Vissenbjerg,3251,55.3863025,10.1315832
Espe,492,55.2025581,10.4116598
Gislev,1238,55.2172001,10.5977136
Millinge,498,55.1304185,10.2157771
Diernæs,296,55.1062273,10.2905107
Faaborg,6763,55.097087,10.2428246
Bøjden,275,55.1037624,10.1052145
Faldsled,485,55.1486665,10.1507749
Horne,837,55.108495,10.1672537
Håstrup,331,55.1729153,10.196156
Vester Hæsinge,403,55.1956396,10.2479643
Korinth,902,55.1430714,10.325925
Ringe,6822,55.2351317,10.481895
Ryslinge,1989,55.2354677,10.5350416
Nørre Broby,1456,55.2547103,10.2322458
Brobyværk,1071,55.2301366,10.2541863
Heden,218,55.2487651,10.3674477
Søllinge,236,55.2868937,10.5358314
Nørre Lyndelse,2337,55.3006566,10.3944129
Årslev,4447,55.305281,10.4711821
Nørre Søby,893,55.2858121,10.3801895
Vester Åby,793,55.0852092,10.3775757
Kværndrup,1680,55.1783707,10.5256048
Ferritslev,1043,55.3091337,10.5868271
Rolsted,482,55.3207001,10.568199
Tarup,267,55.4111882,10.3444208
Herringe,214,55.2011979,10.4555831
Krarup,203,55.1641062,10.4197779
Åstrup,208,54.8488708,12.0848966
Munkebo,5423,55.4568372,10.5536985
Rynkeby,589,55.3979601,10.6099749
Rønninge,249,55.343739,10.6044742
Mesinge,327,55.5013652,10.6487936
Kerteminde,6128,55.4532771,10.6547783
Revninge,218,55.4196917,10.6522789
Birkende,680,55.3798184,10.5642
Langeskov,4456,55.3582245,10.5831493
Kertinge,267,55.4296916,10.583688
Marslev,695,55.3902304,10.5213062
Skrækkenborg,274,55.4408503,10.6525993
Måre,521,55.275109,10.6126004
Refsvindinge,566,55.2830994,10.6845474
Ørbæk,1752,55.2581432,10.6704068
Hjulby,387,55.3379461,10.7373079
Nyborg,17990,55.3098281,10.7976604
Frørup,377,55.2418334,10.7145452
Svindinge,284,55.2176328,10.6886304
Tårup,283,55.2342511,10.7720894
Ellinge,224,55.3155666,10.6222927
Skellerup,351,55.3366807,10.6586499
Ullerslev,2714,55.3615271,10.6630468
Aunslev,387,55.3546226,10.7268814
Seden Strand,327,55.4394262,10.4487675
Næsbyhoved-Broby,1548,55.4390131,10.3096495
Lumby,818,55.4577147,10.376438
Allese,261,55.4532109,10.3153559
Ejlstrup,1266,55.4064272,10.2659523
